1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluesse;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;1001;Flensburg;KfS;8,907;10,187;841;9.4;11;5;5,177;58.1;3,493;2,716;777;1,182;33.8
------;Straftaten insgesamt;1002;Kiel;KfS;23,934;9,673;1,958;8.2;27;13;11,493;48;7,949;6,099;1,850;2,194;27.6
------;Straftaten insgesamt;1003;Lübeck;KfS;23,614;10,896;1,829;7.7;23;15;12,964;54.9;8,405;6,336;2,069;1,958;23.3
------;Straftaten insgesamt;1004;Neumünster;KfS;9,751;12,238;681;7;13;8;6,325;64.9;5,026;3,560;1,466;2,496;49.7
------;Straftaten insgesamt;1051;Dithmarschen;K;7,262;5,437;515;7.1;9;6;4,034;55.5;3,024;2,230;794;445;14.7
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;10,167;5,212;877;8.6;22;7;5,273;51.9;4,090;3,056;1,034;954;23.3
------;Straftaten insgesamt;1054;Nordfriesland;K;8,561;5,191;522;6.1;8;10;4,731;55.3;3,421;2,613;808;570;16.7
------;Straftaten insgesamt;1055;Ostholstein;K;13,119;6,533;968;7.4;10;16;7,376;56.2;5,915;4,685;1,230;1,950;33
------;Straftaten insgesamt;1056;Pinneberg;K;17,571;5,656;1,175;6.7;10;14;8,837;50.3;7,098;5,446;1,652;2,022;28.5
------;Straftaten insgesamt;1057;Plön;K;5,480;4,258;407;7.4;6;9;2,793;51;2,316;1,773;543;336;14.5
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;13,283;4,877;1,165;8.8;14;11;6,992;52.6;5,395;4,139;1,256;1,062;19.7
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,498;4,780;723;7.6;14;9;5,863;61.7;4,954;3,936;1,018;2,102;42.4
------;Straftaten insgesamt;1060;Segeberg;K;15,893;5,838;1,236;7.8;24;21;8,989;56.6;7,165;5,209;1,956;2,583;36.1
------;Straftaten insgesamt;1061;Steinburg;K;8,390;6,362;581;6.9;16;8;4,901;58.4;4,243;3,075;1,168;1,686;39.7
------;Straftaten insgesamt;1062;Stormarn;K;13,549;5,603;1,456;10.7;21;11;6,050;44.7;4,854;3,848;1,006;1,105;22.8
------;Straftaten insgesamt;2000;Hamburg;KfS;224,292;12,389;18,601;8.3;213;129;99,740;44.5;69,660;53,356;16,304;31,784;45.6
------;Straftaten insgesamt;3101;Braunschweig;KfS;22,904;9,211;1,470;6.4;22;14;13,823;60.4;9,254;7,120;2,134;2,858;30.9
------;Straftaten insgesamt;3102;Salzgitter;KfS;5,867;5,659;399;6.8;12;7;3,895;66.4;3,076;2,258;818;891;29
------;Straftaten insgesamt;3103;Wolfsburg;KfS;8,274;6,677;628;7.6;4;6;4,720;57;3,488;2,708;780;1,109;31.8
------;Straftaten insgesamt;3151;Gifhorn;LK;7,091;4,058;588;8.3;12;15;4,441;62.6;3,253;2,484;769;624;19.2
------;Straftaten insgesamt;3153;Goslar;LK;8,561;6,205;656;7.7;18;12;5,523;64.5;3,936;2,848;1,088;649;16.5
------;Straftaten insgesamt;3154;Helmstedt;LK;5,828;6,329;432;7.4;15;9;3,734;64.1;2,788;2,157;631;712;25.5
------;Straftaten insgesamt;3155;Northeim;LK;6,671;4,993;466;7;13;5;4,539;68;3,469;2,613;856;631;18.2
------;Straftaten insgesamt;3157;Peine;LK;6,840;5,144;505;7.4;14;11;4,432;64.8;3,050;2,399;651;851;27.9
------;Straftaten insgesamt;3158;Wolfenbüttel;LK;4,583;3,791;358;7.8;4;6;2,882;62.9;2,319;1,766;553;481;20.7
------;Straftaten insgesamt;3159;Göttingen;LK;22,082;6,752;1,708;7.7;32;24;13,735;62.2;9,664;7,263;2,401;2,591;26.8
------;Straftaten insgesamt;3241;Region Hannover;LK;114,685;9,984;8,701;7.6;136;85;71,532;62.4;43,943;33,113;10,830;16,950;38.6
------;Straftaten insgesamt;3251;Diepholz;LK;10,572;4,915;835;7.9;8;22;6,639;62.8;5,104;4,053;1,051;1,277;25
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;9,294;6,269;584;6.3;10;13;6,758;72.7;4,656;3,529;1,127;1,119;24
------;Straftaten insgesamt;3254;Hildesheim;LK;16,017;5,776;1,273;7.9;28;26;9,944;62.1;7,074;5,232;1,842;1,628;23
