1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
------;Straftaten insgesamt;3159;Göttingen;LK;20,510;6,252;1,262;6.2;33;25;12,427;60.6;8,995;6,756;2,239;2,349;26.1
------;Straftaten insgesamt;3241;Region Hannover;LK;105,931;9,190;7,164;6.8;115;86;67,162;63.4;41,689;31,804;9,885;15,844;38
------;Straftaten insgesamt;3251;Diepholz;LK;9,986;4,623;822;8.2;13;11;6,364;63.7;4,925;3,849;1,076;1,260;25.6
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;8,367;5,642;498;6;10;11;6,022;72;4,287;3,227;1,060;1,081;25.2
------;Straftaten insgesamt;3254;Hildesheim;LK;15,953;5,767;1,110;7;22;22;10,120;63.4;6,850;5,171;1,679;1,578;23
------;Straftaten insgesamt;3255;Holzminden;LK;3,415;4,800;248;7.3;10;7;2,416;70.7;1,738;1,314;424;323;18.6
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;6,651;5,475;465;7;7;10;3,901;58.7;2,792;2,155;637;588;21.1
------;Straftaten insgesamt;3257;Schaumburg;LK;8,457;5,356;611;7.2;15;6;5,161;61;4,056;3,124;932;970;23.9
------;Straftaten insgesamt;3351;Celle;LK;10,714;5,993;882;8.2;12;27;7,165;66.9;4,900;3,585;1,315;1,125;23
------;Straftaten insgesamt;3352;Cuxhaven;LK;10,155;5,126;704;6.9;14;9;6,344;62.5;4,437;3,505;932;1,091;24.6
------;Straftaten insgesamt;3353;Harburg;LK;12,849;5,109;884;6.9;14;15;7,508;58.4;5,692;4,575;1,117;1,710;30
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;2,350;4,860;182;7.7;0;4;1,586;67.5;1,158;865;293;143;12.3
------;Straftaten insgesamt;3355;Lüneburg;LK;12,169;6,652;900;7.4;15;18;7,334;60.3;4,851;3,671;1,180;1,024;21.1
------;Straftaten insgesamt;3356;Osterholz;LK;5,197;4,595;409;7.9;12;12;3,148;60.6;2,481;1,907;574;496;20
------;Straftaten insgesamt;3357;Rotenburg (Wümme);LK;8,950;5,478;539;6;20;12;5,650;63.1;4,395;3,452;943;1,062;24.2
------;Straftaten insgesamt;3358;Landkreis Heidekreis;LK;10,506;7,553;732;7;22;19;7,118;67.8;5,126;3,888;1,238;1,547;30.2
------;Straftaten insgesamt;3359;Stade;LK;10,475;5,189;664;6.3;9;9;6,766;64.6;4,700;3,615;1,085;1,253;26.7
------;Straftaten insgesamt;3360;Uelzen;LK;5,365;5,785;338;6.3;6;11;3,472;64.7;2,424;1,917;507;463;19.1
------;Straftaten insgesamt;3361;Verden;LK;7,356;5,385;597;8.1;10;2;4,774;64.9;3,685;2,809;876;953;25.9
------;Straftaten insgesamt;3401;Delmenhorst;KfS;6,038;7,789;422;7;17;5;3,841;63.6;2,758;2,105;653;933;33.8
------;Straftaten insgesamt;3402;Emden;KfS;4,122;8,145;278;6.7;3;4;2,272;55.1;1,644;1,276;368;350;21.3
------;Straftaten insgesamt;3403;Oldenburg (Oldenburg);KfS;12,997;7,779;783;6;20;9;7,604;58.5;5,054;3,877;1,177;1,298;25.7
------;Straftaten insgesamt;3404;Osnabrück;KfS;17,602;10,709;961;5.5;16;8;10,748;61.1;7,007;5,459;1,548;2,425;34.6
------;Straftaten insgesamt;3405;Wilhelmshaven;KfS;9,159;12,001;675;7.4;13;10;6,267;68.4;3,657;2,714;943;628;17.2
------;Straftaten insgesamt;3451;Ammerland;LK;4,782;3,876;285;6;3;13;3,045;63.7;2,253;1,712;541;366;16.2
------;Straftaten insgesamt;3452;Aurich;LK;9,248;4,869;577;6.2;14;19;6,187;66.9;4,532;3,372;1,160;672;14.8
------;Straftaten insgesamt;3453;Cloppenburg;LK;6,491;3,865;418;6.4;7;18;4,237;65.3;3,312;2,591;721;867;26.2
------;Straftaten insgesamt;3454;Emsland;LK;18,758;5,796;1,131;6;26;32;12,004;64;8,094;6,467;1,627;2,256;27.9
------;Straftaten insgesamt;3455;Friesland;LK;5,180;5,258;363;7;2;9;3,397;65.6;2,398;1,802;596;307;12.8
------;Straftaten insgesamt;3456;Grafschaft Bentheim;LK;7,747;5,702;456;5.9;10;11;4,750;61.3;3,635;2,993;642;1,477;40.6
------;Straftaten insgesamt;3457;Leer;LK;8,404;4,974;520;6.2;8;18;5,494;65.4;4,221;3,145;1,076;891;21.1
------;Straftaten insgesamt;3458;Oldenburg;LK;6,019;4,633;390;6.5;8;11;3,716;61.7;2,954;2,359;595;797;27
------;Straftaten insgesamt;3459;Osnabrück;LK;16,064;4,511;1,219;7.6;29;29;10,438;65;7,828;6,039;1,789;2,367;30.2
------;Straftaten insgesamt;3460;Vechta;LK;6,481;4,611;432;6.7;7;6;3,863;59.6;3,094;2,471;623;1,024;33.1
------;Straftaten insgesamt;3461;Wesermarsch;LK;4,474;5,026;291;6.5;11;15;3,141;70.2;2,264;1,734;530;366;16.2
------;Straftaten insgesamt;3462;Wittmund;LK;3,206;5,651;243;7.6;0;2;2,294;71.6;1,579;1,205;374;204;12.9
------;Straftaten insgesamt;4011;Bremen;KfS;62,101;10,933;6,009;9.7;88;19;30,615;49.3;20,002;15,347;4,655;8,610;43
------;Straftaten insgesamt;4012;Bremerhaven;KfS;12,206;10,799;1,058;8.7;27;19;5,873;48.1;4,132;3,219;913;1,320;31.9
------;Straftaten insgesamt;5111;Düsseldorf;KfS;62,734;10,163;4,287;6.8;18;10;31,511;50.2;24,889;18,600;6,289;12,409;49.9
------;Straftaten insgesamt;5112;Duisburg;KfS;44,070;8,847;3,199;7.3;26;22;24,894;56.5;17,620;13,035;4,585;6,919;39.3
------;Straftaten insgesamt;5113;Essen;KfS;50,065;8,582;3,130;6.3;23;21;29,648;59.2;20,966;15,653;5,313;8,253;39.4
------;Straftaten insgesamt;5114;Krefeld;KfS;21,679;9,563;1,369;6.3;10;4;12,964;59.8;9,145;6,776;2,369;3,087;33.8
------;Straftaten insgesamt;5116;Mönchengladbach;KfS;19,938;7,604;1,266;6.3;9;10;11,361;57;8,148;6,099;2,049;2,820;34.6
------;Straftaten insgesamt;5117;Mülheim an der Ruhr;KfS;11,285;6,589;781;6.9;5;4;6,613;58.6;4,864;3,582;1,282;1,711;35.2
------;Straftaten insgesamt;5119;Oberhausen;KfS;15,884;7,513;989;6.2;8;8;9,424;59.3;7,530;5,603;1,927;2,373;31.5
------;Straftaten insgesamt;5120;Remscheid;KfS;6,851;6,195;474;6.9;3;4;4,286;62.6;2,891;2,125;766;961;33.2
------;Straftaten insgesamt;5122;Solingen;KfS;9,809;6,177;882;9;3;11;4,647;47.4;3,829;2,879;950;1,274;33.3
------;Straftaten insgesamt;5124;Wuppertal;KfS;31,829;9,002;2,353;7.4;25;8;17,682;55.6;12,140;8,990;3,150;4,369;36
------;Straftaten insgesamt;5154;Kleve;K;20,042;6,439;1,319;6.6;5;7;11,215;56;8,614;6,807;1,807;3,628;42.1
------;Straftaten insgesamt;5158;Mettmann;K;27,965;5,761;2,265;8.1;11;9;15,448;55.2;10,896;8,384;2,512;3,349;30.7
------;Straftaten insgesamt;5162;Rhein-Kreis Neuss;K;27,544;6,129;2,295;8.3;8;10;14,696;53.4;10,901;8,310;2,591;3,378;31
------;Straftaten insgesamt;5166;Viersen;K;16,926;5,666;1,183;7;16;13;9,240;54.6;7,237;5,646;1,591;2,236;30.9
------;Straftaten insgesamt;5170;Wesel;K;25,582;5,553;2,049;8;7;14;13,580;53.1;10,013;7,585;2,428;2,444;24.4
------;Straftaten insgesamt;5314;Bonn;KfS;27,996;8,601;2,035;7.3;22;10;13,802;49.3;10,219;7,802;2,417;3,629;35.5
------;Straftaten insgesamt;5315;Köln;KfS;125,349;11,602;10,316;8.2;55;33;60,849;48.5;44,349;33,324;11,025;19,397;43.7
------;Straftaten insgesamt;5316;Leverkusen;KfS;11,964;7,314;1,149;9.6;6;4;6,140;51.3;4,905;3,694;1,211;1,514;30.9
------;Straftaten insgesamt;5334;Aachen;K;44,993;8,120;3,701;8.2;14;17;23,677;52.6;18,036;13,980;4,056;7,551;41.9
------;Straftaten insgesamt;5358;Düren;K;16,109;6,128;1,357;8.4;10;10;8,607;53.4;6,561;4,912;1,649;1,846;28.1
------;Straftaten insgesamt;5362;Rhein-Erft-Kreis;K;32,695;6,998;2,653;8.1;19;14;15,813;48.4;12,436;9,528;2,908;4,028;32.4
------;Straftaten insgesamt;5366;Euskirchen;K;9,620;5,007;625;6.5;2;23;5,615;58.4;4,175;3,155;1,020;963;23.1
------;Straftaten insgesamt;5370;Heinsberg;K;14,450;5,709;996;6.9;7;33;8,006;55.4;5,626;4,313;1,313;1,447;25.7
------;Straftaten insgesamt;5374;Oberbergischer Kreis;K;11,833;4,335;923;7.8;10;24;7,117;60.1;5,125;3,934;1,191;1,185;23.1
------;Straftaten insgesamt;5378;Rheinisch-Bergischer Kreis;K;12,203;4,307;1,035;8.5;7;6;6,381;52.3;5,447;4,203;1,244;1,447;26.6
------;Straftaten insgesamt;5382;Rhein-Sieg-Kreis;K;29,422;4,911;3,365;11.4;27;16;16,010;54.4;11,362;8,757;2,605;3,123;27.5
------;Straftaten insgesamt;5512;Bottrop;KfS;6,901;5,880;495;7.2;10;5;3,613;52.4;2,834;2,104;730;768;27.1
------;Straftaten insgesamt;5513;Gelsenkirchen;KfS;22,234;8,542;1,612;7.3;7;10;11,956;53.8;9,450;6,902;2,548;3,425;36.2
------;Straftaten insgesamt;5515;Münster;KfS;25,753;8,213;1,741;6.8;18;6;12,135;47.1;8,859;6,799;2,060;3,154;35.6
------;Straftaten insgesamt;5554;Borken;K;22,234;6,014;1,789;8;9;14;11,895;53.5;8,563;6,843;1,720;2,220;25.9
------;Straftaten insgesamt;5558;Coesfeld;K;10,908;4,973;778;7.1;8;11;5,974;54.8;4,198;3,293;905;1,079;25.7
------;Straftaten insgesamt;5562;Recklinghausen;K;41,841;6,783;3,253;7.8;17;34;22,848;54.6;16,057;12,033;4,024;4,662;29
------;Straftaten insgesamt;5566;Steinfurt;K;24,255;5,431;1,570;6.5;9;9;12,858;53;9,662;7,420;2,242;2,966;30.7
------;Straftaten insgesamt;5570;Warendorf;K;12,152;4,380;688;5.7;8;13;7,021;57.8;5,194;4,034;1,160;1,585;30.5
------;Straftaten insgesamt;5711;Bielefeld;KfS;23,242;6,989;1,535;6.6;15;11;14,114;60.7;10,240;7,843;2,397;4,194;41
------;Straftaten insgesamt;5754;Gütersloh;K;16,512;4,548;1,115;6.8;18;16;9,210;55.8;7,393;5,835;1,558;2,844;38.5
------;Straftaten insgesamt;5758;Herford;K;11,296;4,491;874;7.7;17;11;6,109;54.1;5,059;3,920;1,139;1,502;29.7
------;Straftaten insgesamt;5762;Höxter;K;5,899;4,167;314;5.3;4;6;3,778;64;2,885;2,242;643;569;19.7
------;Straftaten insgesamt;5766;Lippe;K;13,361;3,828;934;7;11;7;7,907;59.2;6,109;4,661;1,448;1,658;27.1
------;Straftaten insgesamt;5770;Minden-Lübbecke;K;13,884;4,461;1,278;9.2;6;6;7,357;53;5,589;4,370;1,219;1,445;25.9
------;Straftaten insgesamt;5774;Paderborn;K;16,267;5,327;1,316;8.1;4;13;9,365;57.6;6,893;5,286;1,607;1,866;27.1
------;Straftaten insgesamt;5911;Bochum;KfS;32,020;8,760;2,306;7.2;15;11;18,542;57.9;11,972;9,100;2,872;3,890;32.5
------;Straftaten insgesamt;5913;Dortmund;KfS;66,327;11,307;5,114;7.7;26;31;37,989;57.3;24,768;19,130;5,638;9,913;40
------;Straftaten insgesamt;5914;Hagen;KfS;14,134;7,529;984;7;11;11;7,971;56.4;6,081;4,595;1,486;2,366;38.9
------;Straftaten insgesamt;5915;Hamm;KfS;13,355;7,453;904;6.8;9;2;7,688;57.6;5,762;4,486;1,276;2,330;40.4
------;Straftaten insgesamt;5916;Herne;KfS;13,576;8,675;1,008;7.4;6;16;7,609;56;5,033;3,800;1,233;1,648;32.7
------;Straftaten insgesamt;5954;Ennepe-Ruhr-Kreis;K;18,647;5,743;1,505;8.1;4;2;10,622;57;7,014;5,268;1,746;1,949;27.8
------;Straftaten insgesamt;5958;Hochsauerlandkreis;K;12,908;4,934;895;6.9;6;10;7,839;60.7;5,603;4,333;1,270;1,385;24.7
------;Straftaten insgesamt;5962;Märkischer Kreis;K;21,477;5,195;1,722;8;25;14;12,013;55.9;9,172;6,952;2,220;2,482;27.1
------;Straftaten insgesamt;5966;Olpe;K;6,026;4,470;388;6.4;4;1;4,067;67.5;2,661;2,103;558;766;28.8
------;Straftaten insgesamt;5970;Siegen-Wittgenstein;K;16,922;6,088;1,033;6.1;9;27;11,219;66.3;6,858;5,138;1,720;2,300;33.5
------;Straftaten insgesamt;5974;Soest;K;16,172;5,360;958;5.9;7;9;9,426;58.3;6,707;5,291;1,416;1,828;27.3
------;Straftaten insgesamt;5978;Unna;K;23,665;6,007;1,742;7.4;14;10;12,068;51;9,718;7,489;2,229;2,684;27.6
------;Straftaten insgesamt;6411;Darmstadt;KfS;11,200;7,077;666;5.9;2;1;7,024;62.7;5,200;3,949;1,251;2,060;39.6
------;Straftaten insgesamt;6412;Frankfurt am Main;KfS;117,719;15,761;7,091;6;47;46;81,373;69.1;46,173;33,023;13,150;31,138;67.4
------;Straftaten insgesamt;6413;Offenbach am Main;KfS;10,530;8,314;847;8;7;14;6,968;66.2;5,442;4,272;1,170;2,810;51.6
------;Straftaten insgesamt;6414;Wiesbaden;KfS;20,364;7,308;1,232;6;19;20;13,038;64;8,537;6,462;2,075;3,408;39.9
------;Straftaten insgesamt;6431;Bergstraße;LK;9,332;3,472;570;6.1;7;3;5,838;62.6;4,481;3,510;971;1,620;36.2
------;Straftaten insgesamt;6432;Darmstadt-Dieburg;LK;9,109;3,077;604;6.6;2;1;5,435;59.7;4,526;3,556;970;1,620;35.8
------;Straftaten insgesamt;6433;Groß-Gerau;LK;11,000;4,053;637;5.8;6;0;7,008;63.7;5,607;4,549;1,058;2,413;43
------;Straftaten insgesamt;6434;Hochtaunuskreis;LK;9,983;4,230;961;9.6;4;5;5,675;56.8;4,044;3,113;931;1,436;35.5
------;Straftaten insgesamt;6435;Main-Kinzig-Kreis;LK;18,514;4,427;1,399;7.6;19;14;11,567;62.5;9,040;6,910;2,130;3,577;39.6
------;Straftaten insgesamt;6436;Main-Taunus-Kreis;LK;10,462;4,415;917;8.8;12;5;6,244;59.7;4,558;3,480;1,078;1,734;38
------;Straftaten insgesamt;6437;Odenwaldkreis;LK;2,708;2,803;160;5.9;0;1;1,921;70.9;1,637;1,268;369;515;31.5
------;Straftaten insgesamt;6438;Offenbach;LK;16,016;4,554;1,151;7.2;13;9;9,565;59.7;7,318;5,832;1,486;3,004;41
------;Straftaten insgesamt;6439;Rheingau-Taunus-Kreis;LK;5,163;2,767;332;6.4;3;7;3,329;64.5;2,575;1,975;600;797;31
------;Straftaten insgesamt;6440;Wetteraukreis;LK;11,098;3,635;750;6.8;9;9;6,693;60.3;5,454;4,280;1,174;1,805;33.1
------;Straftaten insgesamt;6531;Gießen;LK;16,260;6,089;897;5.5;26;19;11,089;68.2;8,530;6,296;2,234;4,404;51.6
------;Straftaten insgesamt;6532;Lahn-Dill-Kreis;LK;8,780;3,454;513;5.8;7;18;5,808;66.2;4,575;3,602;973;1,362;29.8
------;Straftaten insgesamt;6533;Limburg-Weilburg;LK;7,226;4,202;422;5.8;3;8;4,681;64.8;3,659;2,834;825;1,137;31.1
------;Straftaten insgesamt;6534;Marburg-Biedenkopf;LK;9,880;4,014;585;5.9;17;8;6,531;66.1;4,836;3,767;1,069;1,396;28.9
------;Straftaten insgesamt;6535;Vogelsbergkreis;LK;3,808;3,577;261;6.9;2;2;2,452;64.4;1,917;1,533;384;388;20.2
------;Straftaten insgesamt;6611;Kassel;KfS;18,025;8,979;1,317;7.3;20;24;10,834;60.1;7,445;5,651;1,794;2,923;39.3
------;Straftaten insgesamt;6631;Fulda;LK;8,890;4,008;695;7.8;9;23;6,156;69.2;4,473;3,563;910;1,474;33
------;Straftaten insgesamt;6632;Hersfeld-Rotenburg;LK;5,353;4,420;409;7.6;2;5;3,606;67.4;2,725;2,148;577;687;25.2
------;Straftaten insgesamt;6633;Kassel;LK;6,913;2,921;544;7.9;5;9;4,008;58;3,527;2,745;782;866;24.6
------;Straftaten insgesamt;6634;Schwalm-Eder-Kreis;LK;6,451;3,569;486;7.5;3;9;4,126;64;3,113;2,448;665;713;22.9
------;Straftaten insgesamt;6635;Waldeck-Frankenberg;LK;5,441;3,460;292;5.4;1;6;3,522;64.7;2,793;2,215;578;622;22.3
------;Straftaten insgesamt;6636;Werra-Meißner-Kreis;LK;4,718;4,667;367;7.8;2;8;2,998;63.5;2,028;1,572;456;447;22
------;Straftaten insgesamt;7111;Koblenz;KfS;11,476;10,080;701;6.1;9;7;6,169;53.8;4,857;3,717;1,140;1,502;30.9
------;Straftaten insgesamt;7131;Ahrweiler;LK;7,700;5,973;665;8.6;8;27;4,508;58.5;3,618;2,815;803;786;21.7
------;Straftaten insgesamt;7132;Altenkirchen (Westerwald);LK;6,759;5,248;451;6.7;8;9;4,786;70.8;3,319;2,479;840;618;18.6
------;Straftaten insgesamt;7133;Bad Kreuznach;LK;9,295;5,900;611;6.6;4;11;6,140;66.1;4,402;3,338;1,064;1,147;26.1
------;Straftaten insgesamt;7134;Birkenfeld;LK;3,890;4,819;225;5.8;0;4;2,746;70.6;1,906;1,452;454;378;19.8
------;Straftaten insgesamt;7135;Cochem-Zell;LK;2,545;4,127;145;5.7;1;6;1,719;67.5;1,359;1,057;302;286;21
------;Straftaten insgesamt;7137;Mayen-Koblenz;LK;10,007;4,686;644;6.4;14;8;6,533;65.3;5,072;3,916;1,156;981;19.3
------;Straftaten insgesamt;7138;Neuwied;LK;9,760;5,373;663;6.8;3;10;6,206;63.6;4,934;3,750;1,184;1,145;23.2
------;Straftaten insgesamt;7140;Rhein-Hunsrück-Kreis;LK;4,931;4,790;324;6.6;2;6;3,317;67.3;2,736;2,033;703;887;32.4
------;Straftaten insgesamt;7141;Rhein-Lahn-Kreis;LK;5,971;4,879;400;6.7;5;21;4,052;67.9;2,982;2,305;677;702;23.5
------;Straftaten insgesamt;7143;Westerwaldkreis;LK;9,114;4,533;575;6.3;5;11;5,928;65;4,592;3,590;1,002;1,061;23.1
------;Straftaten insgesamt;7211;Trier;KfS;10,795;9,812;464;4.3;3;3;7,539;69.8;5,884;4,295;1,589;3,102;52.7
------;Straftaten insgesamt;7231;Bernkastel-Wittlich;LK;5,650;5,039;341;6;2;8;4,110;72.7;2,955;2,378;577;684;23.1
------;Straftaten insgesamt;7232;Eifelkreis Bitburg-Prüm;LK;3,783;3,852;214;5.7;0;8;2,617;69.2;2,304;1,817;487;817;35.5
------;Straftaten insgesamt;7233;Vulkaneifel;LK;2,836;4,672;207;7.3;2;5;1,940;68.4;1,513;1,135;378;230;15.2
------;Straftaten insgesamt;7235;Trier-Saarburg;LK;5,320;3,582;335;6.3;4;1;3,544;66.6;2,892;2,244;648;1,105;38.2
------;Straftaten insgesamt;7311;Frankenthal (Pfalz);KfS;3,800;7,848;271;7.1;4;2;2,443;64.3;1,918;1,410;508;581;30.3
------;Straftaten insgesamt;7312;Kaiserslautern;KfS;12,062;12,100;674;5.6;6;9;7,873;65.3;5,039;3,770;1,269;1,410;28
------;Straftaten insgesamt;7313;Landau in der Pfalz;KfS;4,318;9,328;315;7.3;2;4;2,668;61.8;1,802;1,365;437;455;25.2
------;Straftaten insgesamt;7314;Ludwigshafen am Rhein;KfS;16,528;9,809;1,094;6.6;17;12;10,167;61.5;7,416;5,385;2,031;2,964;40
------;Straftaten insgesamt;7315;Mainz;KfS;18,569;8,632;1,097;5.9;8;10;12,051;64.9;8,219;6,396;1,823;3,114;37.9
------;Straftaten insgesamt;7316;Neustadt an der Weinstraße;KfS;4,035;7,563;329;8.2;4;5;2,585;64.1;1,869;1,383;486;536;28.7
------;Straftaten insgesamt;7317;Pirmasens;KfS;3,538;8,707;181;5.1;5;3;2,566;72.5;1,560;1,166;394;321;20.6
------;Straftaten insgesamt;7318;Speyer;KfS;4,664;9,157;327;7;7;8;2,960;63.5;2,079;1,594;485;854;41.1
------;Straftaten insgesamt;7319;Worms;KfS;6,556;7,891;447;6.8;3;5;4,009;61.2;2,905;2,254;651;1,080;37.2
------;Straftaten insgesamt;7320;Zweibrücken;KfS;2,383;6,954;164;6.9;2;4;1,741;73.1;1,263;929;334;327;25.9
------;Straftaten insgesamt;7331;Alzey-Worms;LK;5,213;4,056;431;8.3;6;10;3,159;60.6;2,379;1,847;532;594;25
------;Straftaten insgesamt;7332;Bad Dürkheim;LK;6,753;5,087;498;7.4;8;7;4,252;63;3,251;2,444;807;693;21.3
------;Straftaten insgesamt;7333;Donnersbergkreis;LK;3,582;4,770;249;7;5;4;2,582;72.1;1,762;1,335;427;349;19.8
------;Straftaten insgesamt;7334;Germersheim;LK;7,327;5,703;488;6.7;8;8;4,596;62.7;3,577;2,783;794;964;26.9
------;Straftaten insgesamt;7335;Kaiserslautern;LK;4,933;4,669;344;7;4;8;3,291;66.7;2,459;1,840;619;634;25.8
------;Straftaten insgesamt;7336;Kusel;LK;3,966;5,605;295;7.4;1;8;2,748;69.3;2,170;1,599;571;977;45
------;Straftaten insgesamt;7337;Südliche Weinstraße;LK;5,021;4,539;416;8.3;7;7;3,165;63;2,434;1,820;614;486;20
------;Straftaten insgesamt;7338;Rhein-Pfalz-Kreis;LK;6,742;4,388;526;7.8;11;7;4,082;60.5;3,113;2,352;761;848;27.2
------;Straftaten insgesamt;7339;Mainz-Bingen;LK;10,582;5,044;580;5.5;4;12;7,057;66.7;5,570;4,121;1,449;2,359;42.4
------;Straftaten insgesamt;7340;Südwestpfalz;LK;2,599;2,722;145;5.6;5;4;1,664;64;1,323;1,013;310;171;12.9
------;Straftaten insgesamt;8111;Stuttgart;SK;53,828;8,507;4,144;7.7;22;19;34,230;63.6;24,240;19,012;5,228;11,358;46.9
------;Straftaten insgesamt;8115;Böblingen;LK;19,237;4,938;925;4.8;5;6;13,299;69.1;7,898;6,094;1,804;3,198;40.5
------;Straftaten insgesamt;8116;Esslingen;LK;24,477;4,597;2,157;8.8;8;7;14,902;60.9;11,674;8,892;2,782;5,631;48.2
------;Straftaten insgesamt;8117;Göppingen;LK;9,540;3,722;687;7.2;11;11;5,952;62.4;4,345;3,312;1,033;1,580;36.4
------;Straftaten insgesamt;8118;Ludwigsburg;LK;21,739;4,006;1,409;6.5;13;18;13,920;64;10,467;8,076;2,391;4,144;39.6
------;Straftaten insgesamt;8119;Rems-Murr-Kreis;LK;18,018;4,241;1,307;7.3;12;10;11,191;62.1;8,199;6,275;1,924;3,107;37.9
------;Straftaten insgesamt;8121;Heilbronn;SK;8,720;6,970;706;8.1;6;11;5,577;64;4,419;3,380;1,039;2,058;46.6
------;Straftaten insgesamt;8125;Heilbronn;LK;10,361;3,040;896;8.6;7;4;6,021;58.1;4,822;3,835;987;1,671;34.7
------;Straftaten insgesamt;8126;Hohenlohekreis;LK;4,104;3,684;373;9.1;2;8;2,407;58.7;1,803;1,432;371;556;30.8
------;Straftaten insgesamt;8127;Schwäbisch Hall;LK;6,347;3,268;359;5.7;2;27;4,142;65.3;3,137;2,432;705;884;28.2
------;Straftaten insgesamt;8128;Main-Tauber-Kreis;LK;5,167;3,909;559;10.8;1;5;3,172;61.4;2,273;1,793;480;611;26.9
------;Straftaten insgesamt;8135;Heidenheim;LK;5,218;3,953;372;7.1;9;17;3,389;64.9;2,267;1,752;515;700;30.9
------;Straftaten insgesamt;8136;Ostalbkreis;LK;11,677;3,738;722;6.2;8;17;7,254;62.1;5,474;4,089;1,385;1,748;31.9
