1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;1001;Flensburg;KfS;8,156;9,214;633;7.8;11;5;4,878;59.8;3,474;2,635;839;1,178;33.9
------;Straftaten insgesamt;1002;Kiel;KfS;24,621;9,930;1,787;7.3;13;8;11,941;48.5;7,877;6,065;1,812;2,251;28.6
------;Straftaten insgesamt;1003;Lübeck;KfS;22,685;10,487;1,682;7.4;21;21;12,727;56.1;7,858;5,940;1,918;2,068;26.3
------;Straftaten insgesamt;1004;Neumünster;KfS;10,688;13,472;897;8.4;12;4;6,660;62.3;5,061;3,738;1,323;2,465;48.7
------;Straftaten insgesamt;1051;Dithmarschen;K;7,224;5,413;440;6.1;4;13;4,163;57.6;3,169;2,392;777;577;18.2
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;10,035;5,118;883;8.8;8;14;5,207;51.9;3,965;2,991;974;899;22.7
------;Straftaten insgesamt;1054;Nordfriesland;K;8,964;5,418;575;6.4;6;7;4,924;54.9;3,564;2,752;812;698;19.6
------;Straftaten insgesamt;1055;Ostholstein;K;12,542;6,253;820;6.5;12;10;6,877;54.8;5,605;4,387;1,218;1,525;27.2
------;Straftaten insgesamt;1056;Pinneberg;K;17,961;5,745;1,364;7.6;26;11;8,886;49.5;6,804;5,225;1,579;2,076;30.5
------;Straftaten insgesamt;1057;Plön;K;5,473;4,248;424;7.7;6;8;2,952;53.9;2,266;1,716;550;359;15.8
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;12,478;4,570;1,020;8.2;14;15;6,700;53.7;5,234;4,032;1,202;970;18.5
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,382;4,703;553;5.9;16;6;6,085;64.9;5,104;4,076;1,028;2,128;41.7
------;Straftaten insgesamt;1060;Segeberg;K;17,114;6,245;1,559;9.1;9;19;9,770;57.1;7,955;5,795;2,160;3,417;43
------;Straftaten insgesamt;1061;Steinburg;K;6,986;5,308;508;7.3;8;7;4,039;57.8;2,908;2,222;686;590;20.3
------;Straftaten insgesamt;1062;Stormarn;K;12,585;5,190;1,260;10;9;7;5,973;47.5;4,777;3,757;1,020;1,272;26.6
------;Straftaten insgesamt;2000;Hamburg;KfS;216,569;11,831;15,149;7;200;111;99,687;46;67,853;52,193;15,660;31,044;45.8
------;Straftaten insgesamt;3101;Braunschweig;KfS;21,355;8,610;1,358;6.4;22;12;13,553;63.5;9,045;6,855;2,190;2,765;30.6
------;Straftaten insgesamt;3102;Salzgitter;KfS;6,359;6,082;512;8.1;7;13;4,173;65.6;3,124;2,337;787;968;31
------;Straftaten insgesamt;3103;Wolfsburg;KfS;9,086;7,333;688;7.6;13;4;4,916;54.1;3,543;2,786;757;1,133;32
------;Straftaten insgesamt;3151;Gifhorn;LK;6,889;3,935;517;7.5;6;12;4,420;64.2;3,269;2,492;777;618;18.9
------;Straftaten insgesamt;3153;Goslar;LK;8,887;6,460;658;7.4;16;15;5,712;64.3;3,936;2,915;1,021;736;18.7
------;Straftaten insgesamt;3154;Helmstedt;LK;5,468;5,962;550;10.1;12;8;3,422;62.6;2,475;1,850;625;557;22.5
------;Straftaten insgesamt;3155;Northeim;LK;6,692;5,030;479;7.2;13;14;4,525;67.6;3,388;2,507;881;568;16.8
------;Straftaten insgesamt;3157;Peine;LK;6,707;5,029;536;8;13;4;4,209;62.8;2,970;2,270;700;773;26
------;Straftaten insgesamt;3158;Wolfenbüttel;LK;4,521;3,754;461;10.2;4;13;2,696;59.6;2,114;1,661;453;435;20.6
